,kappa,theta,sigma,rho,v0,error
2023-09-25,3.8903915157399065,0.010000000000000004,5.0,-0.9453420723626589,0.25965350907224777,0.012850672292031663
2023-09-27,10.0,0.06848717495973182,3.5447306105176937,-0.9068695481100214,0.12794288266356588,0.009007846279163541
2023-09-29,10.0,0.06999701674601186,2.2559326367622083,-0.875727739714055,0.045094763740489895,0.008296252440421703
2023-10-02,8.254999165518955,0.01,5.0,-0.9139884704119473,0.2452587902237973,0.0061028587391972755
2023-10-04,10.0,0.010000000000000024,4.347531605214754,-0.9186307915520372,0.27644617765873186,0.011273685552911524
2023-10-06,0.10000000000083667,0.010000000000000186,4.999999999999998,-0.9728374172844887,0.30728195303556577,0.08059950932708417
2023-10-09,7.830305503995138,0.01,5.0,-0.9434441479310021,0.3186086556760805,0.028019602085500136
2023-10-11,10.0,0.01,4.37275663778612,-0.9209889353080567,0.22978063590473824,0.015805823026325255
2023-10-13,10.0,0.10258344906239837,4.003992188507965,-0.8675154791072579,0.06005233212543276,0.0023952513064563804
2023-10-16,0.10000000000001841,0.010666260621909703,5.0,-0.9651267276143423,0.21511281001774446,0.026711286515901683
2023-10-18,10.0,0.027385957685842018,2.7408846471776687,-0.8770498955865017,0.10960115127187296,0.0042689231316098905
2023-10-20,3.068369184636323,0.3011914610459613,2.169457926907421,-0.8675019877813472,0.01777012267155025,0.00356680090781815
2023-10-23,10.0,0.01,5.0,-0.9288356728045902,0.3051580246629319,0.013132489309058831
2023-10-25,3.0711468721303006,0.3223606129434878,2.305237134078625,-0.8836620971825622,0.015470154169438907,0.0035412844790422768
2023-10-27,10.0,0.13973971042038652,3.176134837879191,-0.8597021176804988,0.03733374299070624,0.004781506000900433
2023-10-30,10.0,0.04519261176052013,4.983480424426466,-0.9252127125528239,0.2724793926482325,0.01793740340979785
2023-11-03,4.231294033235672,0.01,5.0,-0.9372205272273791,0.22294023908474384,0.008407164823639101
2023-11-06,8.906573452069797,0.010000000000000004,5.0,-0.9276346422648765,0.2076394110555168,0.01107277393455071
2023-11-09,9.512151925486641,0.14347175022602965,4.286477430771946,-0.854750230602816,0.001,0.005116301116695077
2023-11-10,1.5087049124537644,0.01,5.0,-0.9591030736527708,0.24905222286488266,0.019734913152231703
2023-11-13,6.9172190508872315,0.01,5.0,-0.9349436905687549,0.2190070835929775,0.012603635402160673
2023-11-16,0.10000000000003254,0.012953105315132152,5.0,-0.9563833474225525,0.16922651291820404,0.037088512352999516
2023-11-17,7.464879280614535,0.01,5.0,-0.9247627890597429,0.19362191123068614,0.01534715106167122
2023-11-20,3.2308819373923323,0.01,5.0,-0.9507900061860488,0.22429121737382746,0.030119618671132883
2023-11-21,0.10000000000000014,0.03470915412822417,5.0,-0.9499439623806919,0.14532220382266345,0.02393483757129741
2023-11-22,0.1,0.010000000000005416,4.9999999999999964,-0.963426232937267,0.14557918119247043,0.03034527604448396
2023-11-24,0.1000000002090863,0.6665307143117974,5.0,-0.9587265611332552,0.15008334558844452,0.03135956554532416
2023-11-27,0.1,0.6446775097682106,5.0,-0.9569510733203839,0.14608405232244834,0.0241281045232246
2023-11-29,0.1,0.01,5.0,-0.941682461150414,0.12896993231509968,0.014018355092388086
2023-12-01,7.5833730773355725,0.01,5.0,-0.9357573060380995,0.21625055189169043,0.025388884232822012
2023-12-04,10.0,0.13008389004216572,4.258848811696935,-0.9102413899550309,0.05669487403137454,0.013424965298944321
2023-12-06,0.10000067892665668,0.010000000000000042,4.999999949027171,-0.9899999956812071,0.001163504836240067,1.9463346679917013
2023-12-08,10.0,0.010000000000000012,5.0,-0.9278600094872458,0.20737461383033823,0.027722842816385207
2023-12-11,10.0,0.15187161092576243,4.77916948121623,-0.9247000681688965,0.0686795717688873,0.014833561452188367
2023-12-13,0.1,0.01,5.0,-0.962760256948816,0.19816578231093668,0.046087441003516055
2023-12-15,10.0,0.1105876104494229,5.0,-0.9093615420814003,0.0682950964582541,0.0101036837061208
2023-12-18,10.0,0.01,4.925804842206811,-0.9153589951496173,0.17239886986649913,0.01529520265280142
2023-12-20,5.6531998605983595,0.0626508713931133,1.522090512159262,-0.6813335958920161,0.0035404263316200194,0.0021361902577961174
2023-12-22,10.0,0.01,3.7744496424492215,-0.8867981815093895,0.12580449303153132,0.012179914954304647
2023-12-27,8.118027173202778,0.01,5.0,-0.9149477414963144,0.1814033948945883,0.012104344314359052
2023-12-29,2.873984612688039,0.2653262077872228,3.06079405551943,-0.9076550464433953,0.022534541881840515,0.016414608379860956
2024-01-03,10.0,0.08320927253753897,4.16606186217471,-0.8855755224699113,0.05944939694374291,0.007820741589196418
2024-01-05,10.0,0.010000000000000005,4.496856269316807,-0.9104910457327475,0.1697139758272949,0.010561178934549047
2024-01-08,3.107071230571424,0.01,5.0,-0.9513411213222557,0.24307656448592682,0.018273361307061007
2024-01-10,6.903291852975689,0.010000000000000009,5.0,-0.9257217732472719,0.1961145944277101,0.011254254183738151
2024-01-12,10.0,0.04943023627461262,3.7431160717147893,-0.8860836102192855,0.07313370300512498,0.011243534442645082
2024-01-17,10.0,0.01,4.867391405679066,-0.9033466287170595,0.18543093447317688,0.006939119592855941
2024-01-19,3.9037446324647664,0.010000000000000009,5.0,-0.9457754921930772,0.2240469287537214,0.015512010913823922
2024-01-22,10.0,0.01,4.351982403732728,-0.8954843746589252,0.14101991548395643,0.013207206611378551
2024-01-24,10.0,0.11459411874386688,4.217833960021583,-0.8890802325443525,0.050046682796728435,0.020403134931155732
2024-01-26,10.0,0.010000000000000026,4.109971450707361,-0.8855968372201216,0.1347307997314414,0.013062132378250626
2024-01-29,5.87200641677571,0.01,5.0,-0.919403997259589,0.20287312323178114,0.012720359833323688
2024-01-31,10.0,0.039772036945819156,2.1433490053517197,-0.7454619938104904,0.02136388303222332,0.0042404681999802804
